TD_NG,trial-04_05.coll.txt	Feb,29,2016,14:26:03
TD_NG,trial-04_06.coll.txt	Feb,29,2016,14:26:22
TD_NG,trial-04_07.coll.txt	Feb,29,2016,14:26:40
TD_NG,trial-04_08.coll.txt	Feb,29,2016,14:26:59
TD_NG,trial-04_09.coll.txt	Feb,29,2016,14:27:17
TD_NG,trial-04_10.coll.txt	Feb,29,2016,14:27:35
TD_NG,trial-04_11.coll.txt	Feb,29,2016,14:27:53
TD_NG,trial-04_12.coll.txt	Feb,29,2016,14:28:12
TD_NG,trial-04_13.coll.txt	Feb,29,2016,14:28:31
TD_NG,trial-04_14.coll.txt	Feb,29,2016,14:28:49
TD_NG,trial-04_15.coll.txt	Feb,29,2016,14:29:07
TD_NG,trial-04_16.coll.txt	Feb,29,2016,14:29:27
TD_NG,trial-04_17.coll.txt	Feb,29,2016,14:29:45
TD_NG,trial-04_18.coll.txt	Feb,29,2016,14:30:03
TD_NG,trial-04_19.coll.txt	Feb,29,2016,14:30:21
TD_NG,trial-04_20.coll.txt	Feb,29,2016,14:30:40
TD_NG,trial-04_21.coll.txt	Feb,29,2016,14:30:58
TD_NG,trial-04_22.coll.txt	Feb,29,2016,14:31:17
TD_NG,trial-04_23.coll.txt	Feb,29,2016,14:31:36
TD_NG,trial-04_24.coll.txt	Feb,29,2016,14:31:55
TD_NG,trial-04_25.coll.txt	Feb,29,2016,14:32:13
TD_NG,trial-04_26.coll.txt	Feb,29,2016,14:32:32
TD_NG,trial-04_27.coll.txt	Feb,29,2016,14:32:50
TD_NG,trial-04_28.coll.txt	Feb,29,2016,14:33:09
TD_NG,trial-04_29.coll.txt	Feb,29,2016,14:33:28
TD_NG,trial-04_30.coll.txt	Feb,29,2016,14:33:46
TD_NG,trial-04_31.coll.txt	Feb,29,2016,14:34:05
TD_NG,trial-04_32.coll.txt	Feb,29,2016,14:34:26
TD_NG,trial-04_33.coll.txt	Feb,29,2016,14:34:45
TD_NG,trial-04_34.coll.txt	Feb,29,2016,14:35:03
TD_NG,trial-04_35.coll.txt	Feb,29,2016,14:35:22
TD_NG,trial-04_36.coll.txt	Feb,29,2016,14:35:41
TD_NG,trial-04_37.coll.txt	Feb,29,2016,14:35:59
TD_NG,trial-04_38.coll.txt	Feb,29,2016,14:36:17
TD_NG,trial-04_39.coll.txt	Feb,29,2016,14:36:36
TD_NG,trial-04_40.coll.txt	Feb,29,2016,14:36:54
TD_NG,trial-04_41.coll.txt	Feb,29,2016,14:37:13
TD_NG,trial-04_42.coll.txt	Feb,29,2016,14:37:31
TD_NG,trial-04_43.coll.txt	Feb,29,2016,14:37:50
TD_NG,trial-04_44.coll.txt	Feb,29,2016,14:38:08
TD_NG,trial-04_45.coll.txt	Feb,29,2016,14:38:27
TD_NG,trial-04_46.coll.txt	Feb,29,2016,14:38:46
TD_NG,trial-04_47.coll.txt	Feb,29,2016,14:39:05
TD_NG,trial-04_48.coll.txt	Feb,29,2016,14:39:23
TD_NG,trial-04_49.coll.txt	Feb,29,2016,14:39:41
TD_NG,trial-04_50.coll.txt	Feb,29,2016,14:40:00
TD_NG,trial-04_51.coll.txt	Feb,29,2016,14:40:19
TD_NG,trial-04_52.coll.txt	Feb,29,2016,14:40:37
TD_NG,trial-04_53.coll.txt	Feb,29,2016,14:40:56
TD_NG,trial-04_54.coll.txt	Feb,29,2016,14:41:14
TD_NG,trial-04_55.coll.txt	Feb,29,2016,14:41:33
TD_NG,trial-04_56.coll.txt	Feb,29,2016,14:41:51
TD_NG,trial-04_57.coll.txt	Feb,29,2016,14:42:09
TD_NG,trial-04_58.coll.txt	Feb,29,2016,14:42:28
TD_NG,trial-04_59.coll.txt	Feb,29,2016,14:42:46
TD_NG,trial-03_-2.coll.txt	Feb,29,2016,14:46:07
TD_NG,trial-03_-1.coll.txt	Feb,29,2016,14:46:26
TD_NG,trial-03_01.coll.txt	Feb,29,2016,14:46:45
TD_NG,trial-03_02.coll.txt	Feb,29,2016,14:47:04
TD_NG,trial-03_03.coll.txt	Feb,29,2016,14:47:22
TD_NG,trial-03_05.coll.txt	Feb,29,2016,14:47:55
TD_NG,trial-03_06.coll.txt	Feb,29,2016,14:48:14
TD_NG,trial-03_07.coll.txt	Feb,29,2016,14:48:32
TD_NG,trial-03_08.coll.txt	Feb,29,2016,14:48:50
TD_NG,trial-03_09.coll.txt	Feb,29,2016,14:49:09
TD_NG,trial-03_11.coll.txt	Feb,29,2016,14:49:35
TD_NG,trial-03_12.coll.txt	Feb,29,2016,14:49:53
TD_NG,trial-03_13.coll.txt	Feb,29,2016,14:50:13
TD_NG,trial-03_14.coll.txt	Feb,29,2016,14:50:32
TD_NG,trial-03_15.coll.txt	Feb,29,2016,14:50:50
TD_NG,trial-03_16.coll.txt	Feb,29,2016,14:51:09
TD_NG,trial-03_17.coll.txt	Feb,29,2016,14:51:28
TD_NG,trial-03_18.coll.txt	Feb,29,2016,14:51:47
TD_NG,trial-03_19.coll.txt	Feb,29,2016,14:52:05
TD_NG,trial-03_20.coll.txt	Feb,29,2016,14:52:23
TD_NG,trial-03_21.coll.txt	Feb,29,2016,14:52:42
TD_NG,trial-03_22.coll.txt	Feb,29,2016,14:53:01
TD_NG,trial-03_23.coll.txt	Feb,29,2016,14:53:19
TD_NG,trial-03_24.coll.txt	Feb,29,2016,14:53:38
TD_NG,trial-03_25.coll.txt	Feb,29,2016,14:53:56
TD_NG,trial-03_26.coll.txt	Feb,29,2016,14:54:14
TD_NG,trial-03_27.coll.txt	Feb,29,2016,14:54:33
TD_NG,trial-03_28.coll.txt	Feb,29,2016,14:54:51
TD_NG,trial-03_29.coll.txt	Feb,29,2016,14:55:10
TD_NG,trial-03_30.coll.txt	Feb,29,2016,14:55:29
TD_NG,trial-03_31.coll.txt	Feb,29,2016,14:55:47
TD_NG,trial-03_32.coll.txt	Feb,29,2016,14:56:05
TD_NG,trial-03_33.coll.txt	Feb,29,2016,14:56:24
TD_NG,trial-03_34.coll.txt	Feb,29,2016,14:56:43
TD_NG,trial-03_35.coll.txt	Feb,29,2016,14:57:01
TD_NG,trial-03_36.coll.txt	Feb,29,2016,14:57:20
TD_NG,trial-03_37.coll.txt	Feb,29,2016,14:57:38
TD_NG,trial-03_38.coll.txt	Feb,29,2016,14:57:56
TD_NG,trial-03_39.coll.txt	Feb,29,2016,14:58:15
TD_NG,trial-03_40.coll.txt	Feb,29,2016,14:58:33
TD_NG,trial-03_41.coll.txt	Feb,29,2016,14:58:52
TD_NG,trial-03_42.coll.txt	Feb,29,2016,14:59:10
TD_NG,trial-03_43.coll.txt	Feb,29,2016,14:59:29
TD_NG,trial-03_44.coll.txt	Feb,29,2016,14:59:47
TD_NG,trial-03_45.coll.txt	Feb,29,2016,15:00:05
TD_NG,trial-03_46.coll.txt	Feb,29,2016,15:00:24
TD_NG,trial-03_47.coll.txt	Feb,29,2016,15:00:43
TD_NG,trial-03_48.coll.txt	Feb,29,2016,15:01:01
TD_NG,trial-03_49.coll.txt	Feb,29,2016,15:01:19
TD_NG,trial-03_50.coll.txt	Feb,29,2016,15:01:37
TD_NG,trial-03_51.coll.txt	Feb,29,2016,15:01:56
TD_NG,trial-05_-1.coll.txt	Feb,29,2016,15:17:38
TD_NG,trial-05_01.coll.txt	Feb,29,2016,15:17:56
TD_NG,trial-05_02.coll.txt	Feb,29,2016,15:18:15
TD_NG,trial-05_03.coll.txt	Feb,29,2016,15:18:33
TD_NG,trial-05_04.coll.txt	Feb,29,2016,15:18:52
TD_NG,trial-05_05.coll.txt	Feb,29,2016,15:19:10
TD_NG,trial-05_06.coll.txt	Feb,29,2016,15:19:28
TD_NG,trial-05_07.coll.txt	Feb,29,2016,15:19:46
TD_NG,trial-05_08.coll.txt	Feb,29,2016,15:20:04
TD_NG,trial-05_09.coll.txt	Feb,29,2016,15:20:23
TD_NG,trial-05_10.coll.txt	Feb,29,2016,15:20:41
TD_NG,trial-05_11.coll.txt	Feb,29,2016,15:20:59
TD_NG,trial-05_12.coll.txt	Feb,29,2016,15:21:17
